kernel,size,impl,input_desc,latency_ms,peak_memory_mb
add,small,pytorch,"x:(4096,) y:(4096,) fp16",0.0176,10091.19
add,small,triton,"x:(4096,) y:(4096,) fp16",0.0361,10091.19
add,small,tilelang,"x:(4096,) y:(4096,) fp16",0.0701,10091.19
add,large,pytorch,"x:(64M,) y:(64M,) fp16",0.306,10219.18
add,large,triton,"x:(64M,) y:(64M,) fp16",0.3244,10219.18
add,large,tilelang,"x:(64M,) y:(64M,) fp16",0.4121,10219.18
argmax,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0318,10091.19
argmax,small,triton,"x:(1024,1024) dim=1 fp16",0.483,10091.19
argmax,small,tilelang,"x:(1024,1024) dim=1 fp16",0.2679,10095.2
argmax,large,pytorch,"x:(8192,32768) dim=1 fp16",0.9534,10091.25
argmax,large,triton,"x:(8192,32768) dim=1 fp16",12.7711,10091.25
argmax,large,tilelang,"x:(8192,32768) dim=1 fp16",10.4063,11115.28
attention,small,pytorch,"QKV:(8,16,512,64) fp32",290.3606,10115.38
attention,small,triton,"QKV:(8,16,512,64) fp32",1.4662,10147.31
attention,small,tilelang,"QKV:(8,16,512,64) fp32",495.2602,10107.23
attention,large,pytorch,"QKV:(8,32,2048,128) fp32",2309.2165,10355.53
attention,large,triton,"QKV:(8,32,2048,128) fp32",42.0588,11379.31
attention,large,tilelang,"QKV:(8,32,2048,128) fp32",3949.0834,10347.34
batched_matmul,small,pytorch,"A:(64,128) B:(64,128,128) fp16",0.0486,10099.32
batched_matmul,small,triton,"A:(64,128) B:(64,128,128) fp16",0.0618,10099.32
batched_matmul,small,tilelang,"A:(64,128) B:(64,128,128) fp16",0.1232,10095.26
batched_matmul,large,pytorch,"A:(128,2048) B:(128,2048,2048) fp16",0.7841,10099.81
batched_matmul,large,triton,"A:(128,2048) B:(128,2048,2048) fp16",0.8288,10099.81
batched_matmul,large,tilelang,"A:(128,2048) B:(128,2048,2048) fp16",10.1423,12141.68
conv2d,small,pytorch,"x:(8,64,56,56) w:(64,64,3,3) fp16",0.0551,10109.38
